                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.70414,                0.84362,                0.89599,                0.99316,                0.98901,                0.99403,                0.81931,                0.73729,                 0.5285,                0.93404,               0.070021,               0.003331,               0.003331
                      1,                 0.7041,                0.53816,                0.89711,                0.99499,                  0.995,                  0.994,                 0.8147,                0.74814,                0.49365,                0.94668,               0.039999,              0.0066424,              0.0066424
                      2,                0.72334,                0.54734,                 0.9131,                0.99699,                 0.9941,                0.99405,                0.74683,                0.95689,                0.49488,                 1.0209,              0.0099548,              0.0099317,              0.0099317
                      3,                0.70915,                 0.5064,                0.91418,                0.99339,                0.98801,                0.99416,                0.76681,                0.83305,                0.45512,                0.99292,               0.009901,               0.009901,               0.009901
                      4,                0.66791,                  0.449,                0.89664,                0.99433,                0.99301,                0.99415,                0.79447,                0.80142,                0.43538,                0.97651,               0.009901,               0.009901,               0.009901
                      5,                0.65076,                0.42467,                0.89287,                0.99467,                0.97303,                0.99368,                0.84456,                0.62539,                0.40023,                0.91842,               0.009868,               0.009868,               0.009868
                      6,                0.63222,                 0.4078,                0.89083,                0.99004,                0.99289,                0.99402,                0.80297,                0.80532,                0.39485,                 0.9684,               0.009835,               0.009835,               0.009835
                      7,                0.61755,                0.39063,                0.88885,                0.99377,                0.99401,                  0.994,                0.85449,                0.64656,                0.35411,                0.93162,               0.009802,               0.009802,               0.009802
                      8,                 0.6024,                0.37478,                0.88273,                0.99433,                0.98901,                0.99425,                0.81861,                0.75746,                0.38358,                0.95528,               0.009769,               0.009769,               0.009769
                      9,                0.59891,                0.36963,                0.87971,                0.99066,                0.98801,                0.99375,                  0.832,                0.71283,                0.35969,                0.94758,               0.009736,               0.009736,               0.009736
                     10,                0.59397,                0.36394,                0.87945,                0.99499,                0.99285,                0.99401,                0.82274,                0.70349,                0.36702,                0.93764,               0.009703,               0.009703,               0.009703
                     11,                0.58528,                0.35815,                 0.8754,                0.99243,                0.99201,                0.99395,                0.85085,                0.66359,                0.35871,                0.93011,                0.00967,                0.00967,                0.00967
                     12,                 0.5827,                0.35224,                0.87558,                0.99369,                0.97602,                0.99383,                0.84141,                0.69628,                0.38906,                0.93988,               0.009637,               0.009637,               0.009637
                     13,                0.57483,                0.34286,                 0.8715,                0.98496,                0.98145,                0.99351,                0.85527,                 0.6304,                0.35753,                0.91626,               0.009604,               0.009604,               0.009604
                     14,                0.57015,                0.34203,                0.87434,                0.99312,                  0.996,                0.99365,                0.85793,                0.64308,                0.32759,                0.91448,               0.009571,               0.009571,               0.009571
                     15,                  0.569,                 0.3392,                0.87124,                0.99048,                0.98701,                0.99364,                0.85998,                0.60987,                0.33371,                0.90791,               0.009538,               0.009538,               0.009538
                     16,                0.56849,                0.33238,                0.87257,                0.99312,                0.98901,                0.99391,                0.85186,                0.65693,                0.34889,                0.92222,               0.009505,               0.009505,               0.009505
                     17,                0.56678,                 0.3314,                0.87145,                0.99698,                0.98834,                0.99395,                0.85024,                0.66189,                0.32709,                0.92047,               0.009472,               0.009472,               0.009472
                     18,                0.56278,                0.32313,                0.86721,                0.99553,                0.99101,                  0.994,                0.84973,                0.63678,                0.32306,                0.90943,               0.009439,               0.009439,               0.009439
                     19,                 0.5539,                0.32239,                 0.8675,                0.99433,                0.99101,                0.99408,                0.84429,                0.66733,                0.32695,                 0.9164,               0.009406,               0.009406,               0.009406
                     20,                0.55482,                0.32128,                0.86867,                0.98903,                0.99084,                 0.9938,                0.85978,                0.63863,                0.32615,                0.90344,               0.009373,               0.009373,               0.009373
                     21,                 0.5545,                0.31771,                0.86548,                0.99595,                0.98378,                0.99394,                0.84549,                0.65662,                0.30861,                0.90881,                0.00934,                0.00934,                0.00934
                     22,                0.55186,                0.31649,                0.86693,                0.99347,                0.98901,                0.99392,                0.85202,                0.65151,                0.31567,                0.91036,               0.009307,               0.009307,               0.009307
                     23,                 0.5505,                0.31616,                  0.866,                0.99222,                0.97902,                0.99356,                0.85987,                0.61102,                 0.3277,                 0.8996,               0.009274,               0.009274,               0.009274
                     24,                 0.5424,                0.30623,                0.86162,                0.99625,                0.99101,                0.99391,                0.86594,                0.61433,                0.31036,                0.90291,               0.009241,               0.009241,               0.009241
                     25,                 0.5489,                0.30953,                0.86261,                  0.995,                0.99314,                0.99398,                0.85258,                0.65456,                0.31953,                 0.9123,               0.009208,               0.009208,               0.009208
                     26,                0.54375,                0.30711,                0.86366,                0.99382,                0.98302,                0.99377,                 0.8534,                0.66711,                0.33459,                 0.9142,               0.009175,               0.009175,               0.009175
                     27,                0.54286,                0.30743,                0.86232,                0.99583,                 0.9539,                0.98752,                0.84442,                0.65681,                0.35702,                0.91386,               0.009142,               0.009142,               0.009142
                     28,                0.54129,                0.30305,                0.86534,                0.98599,                0.95305,                 0.9861,                0.83518,                0.67206,                0.34363,                 0.9206,               0.009109,               0.009109,               0.009109
                     29,                0.53949,                0.30162,                0.86341,                 0.9849,                0.97403,                0.99298,                 0.8442,                0.65078,                0.31655,                0.91594,               0.009076,               0.009076,               0.009076
                     30,                0.54158,                0.29931,                0.86044,                0.99598,                0.99032,                0.99411,                0.86402,                0.61509,                0.30988,                0.89633,               0.009043,               0.009043,               0.009043
                     31,                0.53282,                0.29307,                 0.8584,                0.99057,                0.96903,                0.99333,                0.87663,                0.59168,                0.29996,                0.88694,                0.00901,                0.00901,                0.00901
                     32,                 0.5456,                0.30246,                0.86611,                0.99271,                0.98202,                0.99377,                0.86382,                0.62485,                0.31442,                0.90123,               0.008977,               0.008977,               0.008977
                     33,                0.53491,                0.29387,                0.86094,                0.98899,                0.99001,                0.99378,                0.86058,                0.64006,                0.29379,                0.90283,               0.008944,               0.008944,               0.008944
